Sample,X(ms) [01.01.2012 00:43:32 549 UTC],"labjack_in[%IW64]","labjack_norm[%MD66]","labjack_value[%MD68]"
5551,1325378612549.484560,34,0.00123407307546586,-4.98770236968994
5552,1325378612551.759380,34,0.00123407307546586,-4.98770236968994
5553,1325378612554.251140,34,0.00123407307546586,-4.98770236968994
5554,1325378612556.540380,34,0.00123407307546586,-4.98770236968994
5555,1325378612558.905220,238,0.00865187961608171,-4.91391801834106
5556,1325378612561.423740,238,0.00865187961608171,-4.91391801834106
5557,1325378612563.766460,238,0.00865187961608171,-4.91391801834106
5558,1325378612566.417880,614,0.0221865624189377,-4.77792263031006
5559,1325378612568.891300,614,0.0221865624189377,-4.77792263031006
5560,1325378612571.459920,614,0.0221865624189377,-4.77792263031006
5561,1325378612573.894360,1023,0.0370488911867142,-4.62999153137207
5562,1325378612575.712680,1023,0.0370488911867142,-4.62999153137207
5563,1325378612578.172380,1023,0.0370488911867142,-4.62999153137207
5564,1325378612580.627760,1023,0.0370488911867142,-4.62999153137207
5565,1325378612583.298080,1467,0.0531621538102627,-4.46940088272095
5566,1325378612585.687100,1467,0.0531621538102627,-4.46940088272095
5567,1325378612588.252560,1467,0.0531621538102627,-4.46940088272095
5568,1325378612590.622100,1877,0.0682383328676224,-4.32110834121704
5569,1325378612593.166380,1877,0.0682383328676224,-4.32110834121704
5570,1325378612595.590260,1877,0.0682383328676224,-4.32110834121704
5571,1325378612597.902180,1877,0.0682383328676224,-4.32110834121704
5572,1325378612600.415520,2184,0.0789804905653,-4.21006965637207
5573,1325378612602.736760,2184,0.0789804905653,-4.21006965637207
5574,1325378612604.555200,2184,0.0789804905653,-4.21006965637207
5575,1325378612606.909460,2389,0.0863046944141388,-4.13592290878296
5576,1325378612609.433420,2389,0.0863046944141388,-4.13592290878296
5577,1325378612611.775600,2389,0.0863046944141388,-4.13592290878296
5578,1325378612614.393580,2389,0.0863046944141388,-4.13592290878296
5579,1325378612616.800540,2525,0.0916757732629776,-4.08673334121704
5580,1325378612619.288340,2525,0.0916757732629776,-4.08673334121704
5581,1325378612621.718380,2525,0.0916757732629776,-4.08673334121704
5582,1325378612624.294760,2525,0.0916757732629776,-4.08673334121704
5583,1325378612626.608060,2525,0.0916757732629776,-4.08673334121704
5584,1325378612628.964960,2525,0.0916757732629776,-4.08673334121704
5585,1325378612630.749640,2525,0.0916757732629776,-4.08673334121704
5586,1325378612633.183400,2389,0.0863046944141388,-4.13592290878296
5587,1325378612635.567020,2389,0.0863046944141388,-4.13592290878296
5588,1325378612637.933700,2389,0.0863046944141388,-4.13592290878296
5589,1325378612640.461880,2150,0.0780039355158806,-4.22236680984497
5590,1325378612642.749400,2150,0.0780039355158806,-4.22236680984497
5591,1325378612645.369740,2150,0.0780039355158806,-4.22236680984497
5592,1325378612647.182380,2150,0.0780039355158806,-4.22236680984497
5593,1325378612648.826260,1808,0.065308652818203,-4.34606504440308
5594,1325378612650.691000,1808,0.065308652818203,-4.34606504440308
5595,1325378612652.494140,1808,0.065308652818203,-4.34606504440308
5596,1325378612654.344420,1808,0.065308652818203,-4.34606504440308
5597,1325378612656.144120,1808,0.065308652818203,-4.34606504440308
5598,1325378612658.131980,1399,0.0507207475602627,-4.49399614334106
5599,1325378612659.802240,1399,0.0507207475602627,-4.49399614334106
5600,1325378612661.602920,1399,0.0507207475602627,-4.49399614334106
5601,1325378612663.419140,1399,0.0507207475602627,-4.49399614334106
5602,1325378612665.252280,1023,0.0370488911867142,-4.62999153137207
5603,1325378612666.891720,1023,0.0370488911867142,-4.62999153137207
5604,1325378612668.946380,1023,0.0370488911867142,-4.62999153137207
5605,1325378612670.766160,1023,0.0370488911867142,-4.62999153137207
5606,1325378612672.585100,1023,0.0370488911867142,-4.62999153137207
5607,1325378612674.390240,648,0.0235293358564377,-4.765625
5608,1325378612676.197420,648,0.0235293358564377,-4.765625
5609,1325378612677.872600,648,0.0235293358564377,-4.765625
5610,1325378612679.654120,648,0.0235293358564377,-4.765625
5611,1325378612681.471700,341,0.0123750232160091,-4.87666368484497
5612,1325378612683.295960,341,0.0123750232160091,-4.87666368484497
5613,1325378612685.152420,341,0.0123750232160091,-4.87666368484497
5614,1325378612686.803860,341,0.0123750232160091,-4.87666368484497
5615,1325378612688.624840,341,0.0123750232160091,-4.87666368484497
5616,1325378612690.420140,170,0.00615699496120214,-4.93851280212402
5617,1325378612692.208820,170,0.00615699496120214,-4.93851280212402
5618,1325378612693.877800,170,0.00615699496120214,-4.93851280212402
5619,1325378612695.723520,170,0.00615699496120214,-4.93851280212402
5620,1325378612697.506520,170,0.00615699496120214,-4.93851280212402
5621,1325378612699.325600,102,0.00368884904310107,-4.96310758590698
5622,1325378612701.141900,102,0.00368884904310107,-4.96310758590698
5623,1325378612702.784420,102,0.00368884904310107,-4.96310758590698
5624,1325378612704.929320,102,0.00368884904310107,-4.96310758590698
5625,1325378612706.755420,34,0.00123407307546586,-4.98770236968994
5626,1325378612708.573120,34,0.00123407307546586,-4.98770236968994
5627,1325378612710.360900,34,0.00123407307546586,-4.98770236968994
5628,1325378612712.172760,34,0.00123407307546586,-4.98770236968994
5629,1325378612713.848680,34,0.00123407307546586,-4.98770236968994
5630,1325378612715.669860,0,6.91008298727854E-41,-5
5631,1325378612717.479700,0,6.91008298727854E-41,-5
5632,1325378612719.301380,0,6.91008298727854E-41,-5
5633,1325378612720.924980,0,6.91008298727854E-41,-5
5634,1325378612722.760260,0,6.91008298727854E-41,-5
5635,1325378612724.603040,0,6.91008298727854E-41,-5
5636,1325378612726.381280,0,6.91008298727854E-41,-5
5637,1325378612728.184500,0,6.91008298727854E-41,-5
5638,1325378612729.859880,0,6.91008298727854E-41,-5
5639,1325378612731.664860,0,6.91008298727854E-41,-5
5640,1325378612733.444620,0,6.91008298727854E-41,-5
5641,1325378612735.291640,0,6.91008298727854E-41,-5
5642,1325378612736.949240,0,6.91008298727854E-41,-5
5643,1325378612738.735100,0,6.91008298727854E-41,-5
5644,1325378612740.554100,0,6.91008298727854E-41,-5
5645,1325378612742.355740,0,6.91008298727854E-41,-5
5646,1325378612744.173260,0,6.91008298727854E-41,-5
5647,1325378612745.847100,0,6.91008298727854E-41,-5
5648,1325378612747.661760,0,6.91008298727854E-41,-5
5649,1325378612749.451860,0,6.91008298727854E-41,-5
5650,1325378612751.291340,0,6.91008298727854E-41,-5
5651,1325378612752.948740,0,6.91008298727854E-41,-5
5652,1325378612754.787380,0,6.91008298727854E-41,-5
5653,1325378612756.656380,0,6.91008298727854E-41,-5
5654,1325378612758.466260,0,6.91008298727854E-41,-5
5655,1325378612760.273140,0,6.91008298727854E-41,-5
5656,1325378612761.906260,0,6.91008298727854E-41,-5
5657,1325378612763.724600,0,6.91008298727854E-41,-5
5658,1325378612765.576600,0,6.91008298727854E-41,-5
5659,1325378612767.359960,0,6.91008298727854E-41,-5
5660,1325378612769.634620,0,6.91008298727854E-41,-5
5661,1325378612771.520360,0,6.91008298727854E-41,-5
5662,1325378612773.344160,0,6.91008298727854E-41,-5
5663,1325378612775.183140,0,6.91008298727854E-41,-5
5664,1325378612776.845820,0,6.91008298727854E-41,-5
5665,1325378612778.671940,0,6.91008298727854E-41,-5
5666,1325378612780.442940,0,6.91008298727854E-41,-5
5667,1325378612782.244360,0,6.91008298727854E-41,-5
5668,1325378612783.915920,0,6.91008298727854E-41,-5
5669,1325378612785.731460,0,6.91008298727854E-41,-5
5670,1325378612787.547160,0,6.91008298727854E-41,-5
5671,1325378612789.358360,0,6.91008298727854E-41,-5
5672,1325378612791.171420,0,6.91008298727854E-41,-5
5673,1325378612793.527420,0,6.91008298727854E-41,-5
5674,1325378612795.860460,0,6.91008298727854E-41,-5
5675,1325378612798.374140,0,6.91008298727854E-41,-5
5676,1325378612800.681400,0,6.91008298727854E-41,-5
5677,1325378612803.211020,0,6.91008298727854E-41,-5
5678,1325378612805.638060,0,6.91008298727854E-41,-5
5679,1325378612807.938060,0,6.91008298727854E-41,-5
5680,1325378612810.473420,0,6.91008298727854E-41,-5
5681,1325378612812.803500,0,6.91008298727854E-41,-5
5682,1325378612814.959680,0,6.91008298727854E-41,-5
5683,1325378612817.594680,0,6.91008298727854E-41,-5
5684,1325378612819.374880,0,6.91008298727854E-41,-5
5685,1325378612821.190400,0,6.91008298727854E-41,-5
5686,1325378612822.850880,0,6.91008298727854E-41,-5
5687,1325378612824.671820,0,6.91008298727854E-41,-5
5688,1325378612826.489580,0,6.91008298727854E-41,-5
5689,1325378612828.310800,0,6.91008298727854E-41,-5
5690,1325378612829.929360,0,6.91008298727854E-41,-5
5691,1325378612831.750580,34,0.00123407307546586,-4.98770236968994
5692,1325378612833.559220,34,0.00123407307546586,-4.98770236968994
5693,1325378612835.382120,34,0.00123407307546586,-4.98770236968994
5694,1325378612837.159480,34,0.00123407307546586,-4.98770236968994
5695,1325378612838.830280,34,0.00123407307546586,-4.98770236968994
5696,1325378612840.647220,273,0.00987258180975914,-4.90125846862793
5697,1325378612842.437560,273,0.00987258180975914,-4.90125846862793
5698,1325378612844.259480,273,0.00987258180975914,-4.90125846862793
5699,1325378612845.928200,273,0.00987258180975914,-4.90125846862793
5700,1325378612847.711240,273,0.00987258180975914,-4.90125846862793
5701,1325378612849.516180,682,0.0247500389814377,-4.75332736968994
5702,1325378612851.328440,682,0.0247500389814377,-4.75332736968994
5703,1325378612853.164960,682,0.0247500389814377,-4.75332736968994
5704,1325378612854.868920,682,0.0247500389814377,-4.75332736968994
5705,1325378612856.712600,1092,0.0394902937114239,-4.60503482818604
5706,1325378612858.527140,1092,0.0394902937114239,-4.60503482818604
5707,1325378612860.309020,1092,0.0394902937114239,-4.60503482818604
5708,1325378612861.966260,1092,0.0394902937114239,-4.60503482818604
5709,1325378612863.778480,1092,0.0394902937114239,-4.60503482818604
5710,1325378612865.604260,1535,0.0556035563349724,-4.44480609893799
5711,1325378612867.399080,1535,0.0556035563349724,-4.44480609893799
5712,1325378612869.441200,1535,0.0556035563349724,-4.44480609893799
5713,1325378612871.221100,1535,0.0556035563349724,-4.44480609893799
5714,1325378612872.900900,1911,0.0692148879170418,-4.30881071090698
5715,1325378612874.765500,1911,0.0692148879170418,-4.30881071090698
5716,1325378612876.575180,1911,0.0692148879170418,-4.30881071090698
5717,1325378612878.361340,1911,0.0692148879170418,-4.30881071090698
5718,1325378612880.182500,1911,0.0692148879170418,-4.30881071090698
5719,1325378612881.837300,2218,0.0804453343153,-4.19777202606201
5720,1325378612883.634660,2218,0.0804453343153,-4.19777202606201
5721,1325378612885.465480,2218,0.0804453343153,-4.19777202606201
5722,1325378612887.295140,2218,0.0804453343153,-4.19777202606201
5723,1325378612888.912220,2218,0.0804453343153,-4.19777202606201
5724,1325378612890.720560,2423,0.0877695307135582,-4.12362575531006
5725,1325378612892.515940,2423,0.0877695307135582,-4.12362575531006
5726,1325378612894.349640,2423,0.0877695307135582,-4.12362575531006
5727,1325378612896.167640,2423,0.0877695307135582,-4.12362575531006
5728,1325378612897.833160,2525,0.0916757732629776,-4.08673334121704
5729,1325378612899.610620,2525,0.0916757732629776,-4.08673334121704
5730,1325378612901.421860,2525,0.0916757732629776,-4.08673334121704
5731,1325378612903.485620,2525,0.0916757732629776,-4.08673334121704
5732,1325378612905.366300,2525,0.0916757732629776,-4.08673334121704
5733,1325378612907.195500,2525,0.0916757732629776,-4.08673334121704
5734,1325378612908.841380,2525,0.0916757732629776,-4.08673334121704
5735,1325378612910.666600,2525,0.0916757732629776,-4.08673334121704
5736,1325378612912.448320,2525,0.0916757732629776,-4.08673334121704
5737,1325378612914.887400,2525,0.0916757732629776,-4.08673334121704
5738,1325378612917.458400,2389,0.0863046944141388,-4.13592290878296
5739,1325378612919.767140,2389,0.0863046944141388,-4.13592290878296
5740,1325378612922.314200,2389,0.0863046944141388,-4.13592290878296
5741,1325378612924.733620,2150,0.0780039355158806,-4.22236680984497
5742,1325378612927.191020,2150,0.0780039355158806,-4.22236680984497
5743,1325378612929.579180,2150,0.0780039355158806,-4.22236680984497
5744,1325378612931.935140,1808,0.065308652818203,-4.34606504440308
5745,1325378612934.482860,1808,0.065308652818203,-4.34606504440308
5746,1325378612936.830180,1808,0.065308652818203,-4.34606504440308
5747,1325378612938.623920,1808,0.065308652818203,-4.34606504440308
5748,1325378612940.939620,1399,0.0507207475602627,-4.49399614334106
5749,1325378612943.422020,1399,0.0507207475602627,-4.49399614334106
5750,1325378612945.793800,1399,0.0507207475602627,-4.49399614334106
5751,1325378612948.230380,1399,0.0507207475602627,-4.49399614334106
5752,1325378612950.566680,921,0.0333867855370045,-4.66688346862793
5753,1325378612952.864640,921,0.0333867855370045,-4.66688346862793
5754,1325378612955.505300,921,0.0333867855370045,-4.66688346862793
5755,1325378612957.856100,511,0.018524456769228,-4.81517648696899
5756,1325378612960.553020,511,0.018524456769228,-4.81517648696899
5757,1325378612963.242300,511,0.018524456769228,-4.81517648696899
5758,1325378612965.642860,273,0.00987258180975914,-4.90125846862793
5759,1325378612968.247340,273,0.00987258180975914,-4.90125846862793
5760,1325378612969.907120,273,0.00987258180975914,-4.90125846862793
5761,1325378612972.439160,273,0.00987258180975914,-4.90125846862793
5762,1325378612974.871800,136,0.00493629183620214,-4.95080995559692
5763,1325378612977.443060,136,0.00493629183620214,-4.95080995559692
5764,1325378612979.765380,136,0.00493629183620214,-4.95080995559692
5765,1325378612982.236880,68,0.00246814615093172,-4.97540521621704
5766,1325378612984.679460,68,0.00246814615093172,-4.97540521621704
5767,1325378612987.167820,68,0.00246814615093172,-4.97540521621704
5768,1325378612989.539980,68,0.00246814615093172,-4.97540521621704
5769,1325378612991.849320,34,0.00123407307546586,-4.98770236968994
5770,1325378612994.367220,34,0.00123407307546586,-4.98770236968994
5771,1325378612996.709120,34,0.00123407307546586,-4.98770236968994
5772,1325378612998.496480,0,6.91008298727854E-41,-5
5773,1325378613000.867400,0,6.91008298727854E-41,-5
5774,1325378613003.441300,0,6.91008298727854E-41,-5
5775,1325378613005.799300,0,6.91008298727854E-41,-5
5776,1325378613008.274220,0,6.91008298727854E-41,-5
5777,1325378613010.656080,0,6.91008298727854E-41,-5
5778,1325378613012.944260,0,6.91008298727854E-41,-5
5779,1325378613015.538940,0,6.91008298727854E-41,-5
5780,1325378613017.937000,0,6.91008298727854E-41,-5
5781,1325378613020.479220,0,6.91008298727854E-41,-5
5782,1325378613022.827600,0,6.91008298727854E-41,-5
5783,1325378613024.625280,0,6.91008298727854E-41,-5
5784,1325378613026.942140,0,6.91008298727854E-41,-5
5785,1325378613029.458420,0,6.91008298727854E-41,-5
5786,1325378613031.881100,0,6.91008298727854E-41,-5
5787,1325378613034.464940,0,6.91008298727854E-41,-5
5788,1325378613036.884040,0,6.91008298727854E-41,-5
5789,1325378613038.749400,0,6.91008298727854E-41,-5
5790,1325378613040.563560,0,6.91008298727854E-41,-5
5791,1325378613042.354280,0,6.91008298727854E-41,-5
5792,1325378613044.178600,0,6.91008298727854E-41,-5
5793,1325378613045.843660,0,6.91008298727854E-41,-5
5794,1325378613047.643040,0,6.91008298727854E-41,-5
5795,1325378613049.443540,0,6.91008298727854E-41,-5
5796,1325378613051.253160,0,6.91008298727854E-41,-5
5797,1325378613052.898200,0,6.91008298727854E-41,-5
5798,1325378613054.765880,0,6.91008298727854E-41,-5
5799,1325378613056.653740,0,6.91008298727854E-41,-5
5800,1325378613058.435560,0,6.91008298727854E-41,-5
5801,1325378613060.244920,0,6.91008298727854E-41,-5
5802,1325378613061.906920,0,6.91008298727854E-41,-5
5803,1325378613063.727880,0,6.91008298727854E-41,-5
5804,1325378613065.549440,0,6.91008298727854E-41,-5
5805,1325378613067.356240,0,6.91008298727854E-41,-5
5806,1325378613069.160700,0,6.91008298727854E-41,-5
5807,1325378613071.175900,0,6.91008298727854E-41,-5
5808,1325378613072.841420,34,0.00123407307546586,-4.98770236968994
5809,1325378613074.700860,34,0.00123407307546586,-4.98770236968994
5810,1325378613076.475220,34,0.00123407307546586,-4.98770236968994
5811,1325378613078.287300,34,0.00123407307546586,-4.98770236968994
5812,1325378613079.952240,34,0.00123407307546586,-4.98770236968994
5813,1325378613081.779740,204,0.00737769762054086,-4.92621517181396
5814,1325378613083.558620,204,0.00737769762054086,-4.92621517181396
5815,1325378613085.397540,204,0.00737769762054086,-4.92621517181396
5816,1325378613087.198780,204,0.00737769762054086,-4.92621517181396
5817,1325378613088.846600,204,0.00737769762054086,-4.92621517181396
5818,1325378613090.662100,580,0.0209658611565828,-4.79021978378296
5819,1325378613092.467280,580,0.0209658611565828,-4.79021978378296
5820,1325378613094.281700,580,0.0209658611565828,-4.79021978378296
5821,1325378613095.937220,580,0.0209658611565828,-4.79021978378296
5822,1325378613097.755400,580,0.0209658611565828,-4.79021978378296
5823,1325378613099.548200,989,0.0358281880617142,-4.64228868484497
5824,1325378613101.348220,989,0.0358281880617142,-4.64228868484497
5825,1325378613103.410060,989,0.0358281880617142,-4.64228868484497
5826,1325378613105.305200,989,0.0358281880617142,-4.64228868484497
5827,1325378613106.950200,1433,0.0519414506852627,-4.48169851303101
5828,1325378613108.757440,1433,0.0519414506852627,-4.48169851303101
5829,1325378613110.569600,1433,0.0519414506852627,-4.48169851303101
5830,1325378613112.359900,1433,0.0519414506852627,-4.48169851303101
5831,1325378613114.205440,1433,0.0519414506852627,-4.48169851303101
5832,1325378613115.869500,1808,0.065308652818203,-4.34606504440308
5833,1325378613117.655560,1808,0.065308652818203,-4.34606504440308
5834,1325378613119.477200,1808,0.065308652818203,-4.34606504440308
5835,1325378613121.293520,1808,0.065308652818203,-4.34606504440308
5836,1325378613122.936600,2150,0.0780039355158806,-4.22236680984497
5837,1325378613124.782300,2150,0.0780039355158806,-4.22236680984497
5838,1325378613126.588100,2150,0.0780039355158806,-4.22236680984497
5839,1325378613128.385160,2150,0.0780039355158806,-4.22236680984497
5840,1325378613130.165420,2150,0.0780039355158806,-4.22236680984497
5841,1325378613131.830160,2389,0.0863046944141388,-4.13592290878296
5842,1325378613133.651420,2389,0.0863046944141388,-4.13592290878296
5843,1325378613135.474420,2389,0.0863046944141388,-4.13592290878296
5844,1325378613137.287920,2389,0.0863046944141388,-4.13592290878296
5845,1325378613138.952060,2389,0.0863046944141388,-4.13592290878296
5846,1325378613140.744780,2525,0.0916757732629776,-4.08673334121704
5847,1325378613142.551840,2525,0.0916757732629776,-4.08673334121704
5848,1325378613144.393080,2525,0.0916757732629776,-4.08673334121704
5849,1325378613146.197960,2525,0.0916757732629776,-4.08673334121704
5850,1325378613147.841040,2525,0.0916757732629776,-4.08673334121704
5851,1325378613149.656120,2525,0.0916757732629776,-4.08673334121704
5852,1325378613151.464020,2525,0.0916757732629776,-4.08673334121704
5853,1325378613153.234200,2525,0.0916757732629776,-4.08673334121704
